# Present path LIVE (MAMESTer core loaded, write-combined), 600 frames.
# setname	fps	driver_file	drc	fallback	title
rockclim	49.8	galaxian/galaxian_rockclim.cpp	-	-	Rock Climber
boomrang	49.7	dataeast/liberate.cpp	-	-	Boomer Rang'r / Genesis (set 1)
plgirls	49.7	taito/taito_l.cpp	-	mame4all	Play Girls
astrowar	49.6	zaccaria/galaxia.cpp	-	-	Astro Wars (set 1)
chance32	49.6	misc/chance32.cpp	-	-	Chance Thirty Two
royalqn	49.6	nichibutsu/nightgal.cpp	-	-	Royal Queen (Japan 841010 RQ 0-07)
tourtabl	49.6	atari/tourtabl.cpp	-	-	Tournament Table (set 1)
zingzip	49.6	seta/seta.cpp	-	mame4all	Zing Zing Zip (World) / Zhen Zhen Ji Pao (China?)
arkarea	49.5	upl/ninjakd2.cpp	-	mame4all	Ark Area
mangchi	49.4	nmk/nmk16.cpp	-	mame4all	Mang-Chi
lethalen	49.3	konami/lethal.cpp	-	-	Lethal Enforcers (ver UAE, 11/19/92 15:04)
nightgal	49.3	nichibutsu/nightgal.cpp	-	-	Night Gal (Japan 840920 AG 1-00)
ninjakd2	49.3	upl/ninjakd2.cpp	-	mame4all	Ninja-Kid II / NinjaKun Ashura no Shou (set 1)
nastar	49.1	taito/taito_b.cpp	-	mame4all	Nastar (World)
number1	49.1	misc/sanremo.cpp	-	-	Number One
rapidfir	49.1	misc/tickee.cpp	-	-	Rapid Fire (v1.1, Build 239)
lufykzku	49.0	sigma/sigmab98.cpp	-	-	Otakara Itadaki Luffy Kaizoku-Dan! (Japan, v1.02)
yamyam	49.0	dooyong/gundealr.cpp	-	mame4all	Yam! Yam!?
histryma	48.9	nix/fitfight.cpp	-	-	The History of Martial Arts (set 1)
gundhara	48.8	seta/seta.cpp	-	mame4all	Gundhara
lethalj	48.8	ice/lethalj.cpp	-	-	Lethal Justice (Version 2.3)
othldrby	48.8	toaplan/sunwise.cpp	-	-	Othello Derby (Japan)
flagrall	48.7	promat/1945kiii.cpp	-	-	'96 Flag Rally
galsnew	48.6	kaneko/expro02.cpp	-	-	Gals Panic (Export, EXPRO-02 PCB)
mustache	48.6	seibu/mustache.cpp	-	-	Mustache Boy (Japan)
topgunnr	48.5	exidy/vertigo.cpp	-	-	Top Gunner (Exidy)
ginkun	48.4	tecmo/tecmo16.cpp	-	mame4all	Ganbare Ginkun
kamikcab	48.4	dataeast/liberate.cpp	-	-	Kamikaze Cabbie
ngalsumr	48.4	nichibutsu/nightgal.cpp	-	-	Night Gal Summer (Japan 850702 NGS 0-01)
armwrest	48.3	nintendo/punchout.cpp	-	mame4all	Arm Wrestling
discoboy	48.3	misc/discoboy.cpp	-	-	Disco Boy
horshoes	48.3	taito/taito_l.cpp	-	mame4all	American Horseshoes (US)
maddonna	48.3	misc/oneshot.cpp	-	-	Mad Donna (Tuning, set 1)
popspops	48.2	nmk/nmk16.cpp	-	mame4all	Pop's Pop's
shootout	48.2	dataeast/shootout.cpp	-	mame4all	Shoot Out (US)
thedealr	48.2	seta/thedealr.cpp	-	-	The Dealer (Visco)
witch	48.1	excellent/witch.cpp	-	-	Witch
dleague	48.0	taito/taito_h.cpp	-	-	Dynamite League (US)
gakupara	48.0	nmk/quizdna.cpp	-	-	Quiz Gakuen Paradise (Japan, ver. 1.04)
carket	47.9	dataeast/tumbleb.cpp	-	-	Carket Ball
copsnrob	47.9	atari/copsnrob.cpp	-	mame4all	Cops'n Robbers
robokid	47.9	upl/ninjakd2.cpp	-	mame4all	Atomic Robo-kid (World, Type-2)
bluehawk	47.8	dooyong/dooyong.cpp	-	-	Blue Hawk
bubl2000	47.8	nmk/nmk16.cpp	-	mame4all	Bubble 2000
liberate	47.8	dataeast/liberate.cpp	-	-	Liberation
nratechu	47.8	seta/simple_st0016.cpp	-	-	Neratte Chu (ver. 1.10)
oneshot	47.8	misc/oneshot.cpp	-	-	One Shot One Kill
koikois	47.7	seta/simple_st0016.cpp	-	-	Koi Koi Shimasho - Super Real Hanafuda
ashura	47.6	taito/taito_b.cpp	-	mame4all	Ashura Blaster (World)
croquis	47.6	sega/deniam.cpp	-	mame4all	Croquis (Korea)
darwin	47.6	dataeast/brkthru.cpp	-	mame4all	Darwin 4078 (Japan)
cfarm	47.4	ice/lethalj.cpp	-	-	Chicken Farm (Version 2.0)
karianx	47.4	sega/deniam.cpp	-	mame4all	Karian Cross (Rev. 1.0)
stagger1	47.4	nmk/nmk16.cpp	-	mame4all	Stagger I (Japan)
shuriboy	47.3	konami/konmedal.cpp	-	-	Shuriken Boy
blockhl	47.2	konami/blockhl.cpp	-	mame4all	Block Hole
crospang	47.2	f32/crospang.cpp	-	-	Cross Pang
kingofb	47.1	dataeast/kingofb.cpp	-	mame4all	King of Boxer (World)
megazone	47.1	konami/megazone.cpp	-	mame4all	Mega Zone (version L)
sabotenb	47.1	nmk/nmk16.cpp	-	mame4all	Saboten Bombers (set 1)
eggventr	47.0	ice/lethalj.cpp	-	-	Egg Venture (Release 10)
blocken	46.9	sunelectronics/shangha3.cpp	-	mame4all	Blocken (Japan)
itazuram	46.9	sigma/sammymdl.cpp	-	-	Itazura Monkey
msisaac	46.9	taito/msisaac.cpp	-	-	Metal Soldier Isaac II
shogwarr	46.7	kaneko/kaneko16.cpp	-	mame4all	Shogun Warriors (World)
kyustrkr	46.6	taito/taito_x.cpp	-	mame4all	Last Striker / Kyuukyoku no Striker
recordbr	46.6	taito/taito_h.cpp	-	-	Recordbreaker (World)
bsuprem	46.5	misc/babysuprem.cpp	-	-	Baby Suprem
redalert	46.5	irem/redalert.cpp	-	mame4all	Red Alert
40love	46.4	taito/40love.cpp	-	-	Forty-Love (World)
galaxygn	46.4	edevices/fantland.cpp	-	-	Galaxy Gunners
gundl94	46.4	dooyong/dooyong.cpp	-	-	Gun Dealer '94
tonton	46.4	success/tonton.cpp	-	-	Waku Waku Doubutsu Land TonTon (Japan)
victory	46.4	exidy/victory.cpp	-	mame4all	Victory
theboat	46.3	misc/tvg01.cpp	-	-	The Boat
ddealer	46.2	nmk/ddealer.cpp	-	-	Double Dealer
metlfrzr	46.2	seibu/metlfrzr.cpp	-	-	Metal Freezer (Japan)
neckneck	46.2	itech/itech8.cpp	-	-	Neck-N-Neck (v1.2)
bcstry	46.1	dataeast/tumbleb.cpp	-	-	B.C. Story (set 1)
grdnstrm	46.1	nmk/nmk16.cpp	-	mame4all	Guardian Storm (horizontal, not encrypted)
ryujin	46.1	taito/taito_b.cpp	-	mame4all	Ryu Jin (Japan, ET910000B PCB)
wbbc97	46.0	vsystem/pspikes.cpp	-	mame4all	Beach Festival World Championship 1997
draco	45.9	efo/cidelsa.cpp	-	-	Draco
sadari	45.9	dooyong/dooyong.cpp	-	-	Sadari (Japan, NTC license)
arlingtn	45.8	itech/itech8.cpp	-	-	Arlington Horse Racing (v1.40-D)
pwrkick	45.8	toaplan/sunwise.cpp	-	-	Power Kick (Japan)
riot	45.8	tecmo/tecmo16.cpp	-	mame4all	Riot (NMK)
roldfrog	45.8	gaelco/splash.cpp	-	mame4all	The Return of Lady Frog (set 1)
twins	45.8	edevices/twins.cpp	-	-	Twins (newer)
semibase	45.7	dataeast/tumbleb.cpp	-	-	MuHanSeungBu (SemiCom Baseball) (Korea)
garogun	45.6	yunsung/nmg5.cpp	-	-	Garogun Seroyang (Korea)
gigandes	45.6	taito/taito_x.cpp	-	mame4all	Gigandes
stlforce	45.6	edevices/stlforce.cpp	-	-	Steel Force
supergm3	45.5	nintendo/multigam.cpp	-	-	Super Game III
waijockey	45.4	konami/quickpick5.cpp	-	-	Wai Wai Jockey
ballbros	45.3	taito/taito_x.cpp	-	mame4all	Balloon Brothers
daioh	45.3	seta/seta.cpp	-	mame4all	Daioh
scessjoe	45.3	taito/ashnojoe.cpp	-	-	Success Joe (World)
silvmil	45.3	f32/silvmil.cpp	-	-	Silver Millennium
carpolo	45.2	exidy/carpolo.cpp	-	-	Car Polo
kncljoe	45.2	seibu/kncljoe.cpp	-	mame4all	Knuckle Joe (set 1)
mastboy	45.2	gaelco/mastboy.cpp	-	-	Master Boy (Spain, set 1, checksum E49B)
multigmt	45.2	nintendo/multigam.cpp	-	-	Multi Game (Tung Sheng Electronics)
punchout	45.2	nintendo/punchout.cpp	-	mame4all	Punch-Out!! (Rev B)
renju	45.2	seta/simple_st0016.cpp	-	-	Renju Kizoku - Kira Kira Gomoku Narabe (ver. 1.0)
patapata	45.1	atlus/patapata.cpp	-	-	Pata Pata Panic
tsupenta	45.0	konami/konmedal.cpp	-	-	Tsurikko Penta
7ordi	44.9	yunsung/nmg5.cpp	-	-	7 Ordi (Korea)
burgkids	44.9	toaplan/sunwise.cpp	-	-	Burger Kids (Japan)
fieldday	44.9	taito/40love.cpp	-	-	Field Day
spider	44.9	edevices/twins.cpp	-	-	Spider (Buena Vision, without nudity)
suprtrio	44.9	dataeast/tumbleb.cpp	-	-	Super Trio
flytiger	44.8	dooyong/dooyong.cpp	-	-	Flying Tiger (set 1)
multigm2	44.8	nintendo/multigam.cpp	-	-	Multi Game 2
puzzlove	44.8	f32/silvmil.cpp	-	-	PuzzLove
sdfight	44.8	dataeast/tumbleb.cpp	-	-	SD Fighters (Korea)
superman	44.8	taito/taito_x.cpp	-	mame4all	Superman (World)
darkmist	44.7	seibu/darkmist.cpp	-	-	The Lost Castle In Darkmist
devstors	44.7	konami/mainevt.cpp	-	mame4all	Devastators (ver. Z)
magicbal	44.7	dataeast/tumbleb.cpp	-	-	Magicball Fighting (Korea)
multigm3	44.7	nintendo/multigam.cpp	-	-	Multi Game III
cookbib	44.6	dataeast/tumbleb.cpp	-	-	Cookie & Bibi (set 1)
firetrk	44.6	atari/firetrk.cpp	-	mame4all	Fire Truck / Smokey Joe (PROM version)
hrdtimes	44.6	playmark/playmark.cpp	-	-	Hard Times (set 1)
searchey	44.6	yunsung/nmg5.cpp	-	-	Search Eye (English / Korean / Japanese / Italian)
gijoe	44.5	konami/gijoe.cpp	-	-	G.I. Joe (World, EAB)
guts	44.5	atari/eprom.cpp	-	mame4all	Guts n' Glory (prototype)
mariorou	44.5	konami/konmedal.cpp	-	-	Mario Roulette
mmaulers	44.5	konami/mystwarr.cpp	-	-	Monster Maulers (ver EAA)
peggle	44.5	itech/itech8.cpp	-	-	Peggle (Joystick, v1.0)
sgmt1	44.5	nintendo/multigam.cpp	-	-	Super Game Mega Type 1
fstarfrc	44.4	tecmo/tecmo16.cpp	-	mame4all	Final Star Force (US)
jumppop	44.4	misc/esd16.cpp	-	-	Jumping Pop (set 1)
setaroul	44.4	seta/seta.cpp	-	mame4all	The Roulette (Visco)
twinhawk	44.4	taito/taito_x.cpp	-	mame4all	Twin Hawk (World)
wondstck	44.4	yunsung/nmg5.cpp	-	-	Wonder Stick (set 1)
bigtwin	44.3	playmark/playmark.cpp	-	-	Big Twin
dragrace	44.3	atari/dragrace.cpp	-	-	Drag Race
magix	44.3	yunsung/yunsung8.cpp	-	mame4all	Magix / Rock
spnchout	44.3	nintendo/punchout.cpp	-	mame4all	Super Punch-Out!! (Rev B)
swatpolc	44.3	misc/esd16.cpp	-	-	SWAT Police
tsururin	44.3	konami/konmedal.cpp	-	-	Tsururin Kun
berlwall	44.2	kaneko/kaneko16.cpp	-	mame4all	The Berlin Wall
borntofi	44.2	edevices/fantland.cpp	-	-	Born To Fight (set 1)
excelsr	44.2	playmark/playmark.cpp	-	-	Excelsior (set 1)
quickp5	44.2	konami/quickpick5.cpp	-	-	Quick Pick 5
rocktris	44.2	yunsung/yunsung8.cpp	-	mame4all	Rock Tris
schmeisr	44.2	dataeast/rohga.cpp	-	-	Schmeiser Robo (Japan)
slimekun	44.2	konami/konmedal.cpp	-	-	Slime Kun
spy	44.1	konami/spy.cpp	-	mame4all	S.P.Y.: Special Project Y. (World ver. N)
toypop	44.0	namco/toypop.cpp	-	mame4all	Toypop
angelkds	43.9	sega/angelkds.cpp	-	-	Angel Kids (Japan)
big10	43.9	success/big10.cpp	-	-	Big 10 (1985, Success)
magicbub	43.9	yunsung/yunsun16.cpp	-	-	Magic Bubble
amerdart	43.8	misc/coolpool.cpp	-	-	Ameri Darts (set 1)
fuusenpn	43.8	konami/konmedal.cpp	-	-	Fuusen Pentai
magspeed	43.8	seta/seta.cpp	-	mame4all	Magical Speed
4in1	43.7	galaxian/galaxold.cpp	-	mame4all	4 Fun in 1
evilston	43.7	taito/taito_l.cpp	-	mame4all	Evil Stone
orbit	43.7	atari/orbit.cpp	-	-	Orbit
cannball	43.6	yunsung/yunsung8.cpp	-	mame4all	Cannon Ball (Yun Sung, horizontal)
crimec	43.6	taito/taito_b.cpp	-	mame4all	Crime City (World)
spiders	43.6	sigma/spiders.cpp	-	mame4all	Spiders (set 1)
dambustr	43.5	galaxian/dambustr.cpp	-	-	Dambusters (US, set 1)
utoukond	43.5	seta/seta.cpp	-	mame4all	Ultra Toukon Densetsu (Japan)
bbusters	43.4	snk/bbusters.cpp	-	-	Beast Busters (World)
livequiz	43.4	snk/midas.cpp	-	-	Live Quiz Show
metlclsh	43.4	dataeast/metlclsh.cpp	-	-	Metal Clash (Japan)
metamrph	43.3	konami/mystwarr.cpp	-	-	Metamorphic Force (ver EAA)
montecar	43.3	atari/firetrk.cpp	-	mame4all	Monte Carlo
multigam	43.3	nintendo/multigam.cpp	-	-	Multi Game (set 1)
wheelrun	43.3	edevices/fantland.cpp	-	-	Wheels Runner
blandia	43.2	seta/seta.cpp	-	mame4all	Blandia
ultennis	43.1	misc/artmagic.cpp	-	-	Ultimate Tennis
rabiolep	43.1	vsystem/rpunch.cpp	-	mame4all	Rabio Lepus (Japan)
stratab	43.1	itech/itech8.cpp	-	-	Strata Bowling (v3)
nmg5	43.0	yunsung/nmg5.cpp	-	-	Multi 5 / New Multi Game 5 (set 1)
sexyboom	43.0	msx/sangho.cpp	-	-	Sexy Boom
turbofrc	43.0	vsystem/pspikes.cpp	-	mame4all	Turbo Force (World, set 1)
butasan	42.9	jaleco/argus.cpp	-	mame4all	Butasan - Pig's & Bomber's (Japan, English)
hstennis	42.9	itech/itech8.cpp	-	-	Hot Shots Tennis (v1.1)
metlsavr	42.9	dataeast/tumbleb.cpp	-	-	Metal Saver
kamenrid	42.8	seta/seta.cpp	-	mame4all	Masked Riders Club Battle Race / Kamen Rider Club Battle Racer
badlands	42.7	atari/badlands.cpp	-	mame4all	Bad Lands
mchampdx	42.7	misc/esd16.cpp	-	-	Multi Champ Deluxe (ver. 0106, 06/01/2000)
spinlbrk	42.7	vsystem/pspikes.cpp	-	mame4all	Spinal Breakers (World)
benberob	42.6	taito/halleys.cpp	-	-	Ben Bero Beh (Japan)
explbrkr	42.6	kaneko/kaneko16.cpp	-	mame4all	Explosive Breaker (World)
mugsmash	42.6	edevices/mugsmash.cpp	-	-	Mug Smashers
aerofgt	42.5	vsystem/aerofgt.cpp	-	mame4all	Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)
dblewing	42.5	dataeast/dblewing.cpp	-	-	Double Wings (set 1)
greatgun	42.5	stern/mazerbla.cpp	-	-	Great Guns
gtg	42.5	itech/itech8.cpp	-	-	Golden Tee Golf (Joystick, v3.3)
wfortune	42.5	itech/itech8.cpp	-	-	Wheel Of Fortune (set 1)
cheesech	42.4	misc/artmagic.cpp	-	-	Cheese Chase
hedpanic	42.4	misc/esd16.cpp	-	-	Head Panic (ver. 0117, 17/01/2000)
packbang	42.3	kaneko/kaneko16.cpp	-	mame4all	Pack'n Bang Bang
pokrdice	42.3	itech/itech8.cpp	-	-	Poker Dice (v1.7)
aquarium	42.2	excellent/aquarium.cpp	-	-	Aquarium (US)
madshark	42.2	seta/seta.cpp	-	mame4all	Mad Shark
tangtang	42.2	misc/esd16.cpp	-	-	Tang Tang (ver. 0526, 26/05/2000, set 1)
deluxe5	42.1	misc/esd16.cpp	-	-	Deluxe 5 (ver. 0107, 07/01/2000, set 1)
pairsred	42.1	itech/itech32.cpp	-	-	Pairs Redemption (V1.0, 10/25/94)
cocoloco	42.0	misc/cocoloco.cpp	-	-	Coco Loco (set 1)
pairs	42.0	itech/itech32.cpp	-	-	Pairs (V1.2, 09/30/94)
rimrockn	42.0	itech/itech8.cpp	-	-	Rim Rockin' Basketball (v2.2)
tdragon2	42.0	nmk/nmk16.cpp	-	mame4all	Thunder Dragon 2 (9th Nov. 1993)
valtric	42.0	jaleco/argus.cpp	-	mame4all	Valtric
mechatt	41.8	snk/mechatt.cpp	-	-	Mechanized Attack (World)
twcup90	41.8	tecmo/wc90.cpp	-	-	Tecmo World Cup '90 (World set 1)
bngotime	41.7	alpha/equites.cpp	-	-	Bingo Time
twcup94	41.7	vsystem/gstriker.cpp	-	-	Tecmo World Cup '94 (set 1)
viofight	41.7	taito/taito_b.cpp	-	mame4all	Violence Fight (World)
exctscc2	41.6	alpha/champbas.cpp	-	mame4all	Exciting Soccer II
littlerb	41.6	tch/littlerb.cpp	-	-	Little Robin
nyny	41.6	sigma/nyny.cpp	-	-	New York! New York!
gunpey	41.5	misc/gunpey.cpp	-	-	Gunpey (Japan)
route16	41.5	sunelectronics/route16.cpp	-	mame4all	Route 16 (Sun Electronics, set 1)
zaviga	41.5	dataeast/bwing.cpp	-	-	Zaviga
88games	41.4	konami/88games.cpp	-	mame4all	'88 Games
holeland	41.4	tecfri/holeland.cpp	-	-	Hole Land (Japan)
agress	41.3	technos/blockout.cpp	-	mame4all	Agress - Missile Daisenryaku (Japan)
selfeena	41.3	taito/taito_b.cpp	-	mame4all	Sel Feena
spcpostn	41.3	sega/angelkds.cpp	-	-	Space Position (Japan)
wyvernf0	41.3	taito/wyvernf0.cpp	-	-	Wyvern F-0 (Rev 1)
ninclown	41.2	itech/itech8.cpp	-	-	Ninja Clowns (27 oct 91)
starshp1	41.2	atari/starshp1.cpp	-	-	Starship 1
wbeachvl	41.2	playmark/playmark.cpp	-	-	World Beach Volley (set 1, PIC16C57 audio CPU)
cerberus	41.1	cinematronics/leland.cpp	-	mame4all	Cerberus
hammer	41.1	snk/midas.cpp	-	-	Hammer
powerins	41.0	nmk/nmk16.cpp	-	mame4all	Power Instinct (USA)
dodgem	40.9	zaccaria/zac1b1120.cpp	-	-	Dodgem
offtwall	40.9	atari/offtwall.cpp	-	mame4all	Off the Wall (2/3-player upright)
jjsquawk	40.8	seta/seta.cpp	-	mame4all	J. J. Squawkers
daikaiju	40.7	taito/lsasquad.cpp	-	mame4all	Daikaiju no Gyakushu (rev 1)
ctribe	40.6	technos/ddragon3.cpp	-	mame4all	The Combatribes (US, rev 2, set 1)
ripribit	40.6	ice/lethalj.cpp	-	-	Ripper Ribbit (Version 3.5)
suprslam	40.6	vsystem/suprslam.cpp	-	-	From TV Animation Slam Dunk - Super Slams
pandoras	40.5	konami/pandoras.cpp	-	mame4all	Pandora's Palace
bwings	40.4	dataeast/bwing.cpp	-	-	B-Wings (Japan new Ver.)
karatblz	40.4	vsystem/pspikes.cpp	-	mame4all	Karate Blazers (World, set 1)
pbobble	40.4	taito/taito_b.cpp	-	mame4all	Puzzle Bobble (Japan, B-System)
silentd	40.4	taito/taito_b.cpp	-	mame4all	Silent Dragon (World)
gtmr	40.3	kaneko/kaneko16.cpp	-	mame4all	1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)
hotmind	40.3	playmark/playmark.cpp	-	-	Hot Mind (Hard Times hardware, set 1)
rockrage	40.2	konami/rockrage.cpp	-	mame4all	Rock'n Rage (World)
pspikes	40.1	vsystem/pspikes.cpp	-	mame4all	Power Spikes (World)
grindstm	40.0	toaplan/vfive.cpp	-	mame4all	Grind Stormer
enigma2	39.9	misc/enigma2.cpp	-	-	Enigma II
qzshowby	39.9	taito/taito_b.cpp	-	mame4all	Quiz Sekai wa SHOW by shobai (Japan)
galspnbl	39.8	comad/galspnbl.cpp	-	-	Gals Pinball
hotpinbl	39.7	comad/galspnbl.cpp	-	-	Hot Pinball
gtmr2	39.6	kaneko/kaneko16.cpp	-	mame4all	Mille Miglia 2: Great 1000 Miles Rally (95/05/24)
bowlrama	39.5	itech/capbowl.cpp	-	mame4all	Bowl-O-Rama (Rev 1.0)
chqflag	39.5	konami/chqflag.cpp	-	-	Chequered Flag
cardline	39.4	misc/cardline.cpp	-	-	Card Line
exzisus	39.4	taito/exzisus.cpp	-	-	Exzisus (Japan, dedicated)
blkheart	39.3	nmk/nmk16.cpp	-	mame4all	Black Heart
eto	39.3	taito/asuka.cpp	-	-	Kokontouzai Eto Monogatari (Japan)
grmatch	39.3	itech/itech8.cpp	-	-	Grudge Match (Yankee Game Technology)
hitice	39.3	taito/taito_b.cpp	-	mame4all	Hit the Ice (US)
argus	39.2	jaleco/argus.cpp	-	mame4all	Argus
hypreact	39.1	seta/ssv.cpp	-	-	Mahjong Hyper Reaction (Japan)
mrflea	39.1	pacific/mrflea.cpp	-	-	The Amazing Adventures of Mr. F. Lea
s1945ii	39.0	psikyo/psikyosh.cpp	sh	-	Strikers 1945 II
maletmad	39.0	misc/tickee.cpp	-	-	Mallet Madness (v2.1)
uballoon	39.0	suna/suna16.cpp	-	-	Ultra Balloon
gnbarich	38.9	psikyo/psikyosh.cpp	sh	-	Gunbarich
maxideal	38.8	misc/kingpin.cpp	-	-	Maxi-Dealer
crshrace	38.7	vsystem/crshrace.cpp	-	-	Lethal Crash Race / Bakuretsu Crash Race (set 1)
pitapat	38.7	f32/crospang.cpp	-	-	Pitapat Puzzle (set 1)
hexion	38.6	konami/hexion.cpp	-	-	Hexion (Japan ver JAB)
lsasquad	38.6	taito/lsasquad.cpp	-	mame4all	Land Sea Air Squad / Riku Kai Kuu Saizensen
wizdfire	38.6	dataeast/rohga.cpp	-	-	Wizard Fire (Over Sea v2.1)
capbowl	38.5	itech/capbowl.cpp	-	mame4all	Capcom Bowling (set 1)
macross2	38.5	nmk/nmk16.cpp	-	mame4all	Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II
genius6	38.4	igs/igs017.cpp	-	-	Genius 6 (V110F)
meijinsn	38.4	alpha/meijinsn.cpp	-	-	Meijinsen (set 1)
sunaq	38.4	suna/suna16.cpp	-	-	SunA Quiz 6000 Academy (940620-6)
blktch2	38.3	sunelectronics/shanghai.cpp	-	mame4all	Black Touch II (Korea)
empcity	38.3	seibu/stfight.cpp	-	mame4all	Empire City: 1931 (bootleg?)
tjsb	38.3	igs/igs017.cpp	-	-	Tian Jiang Shen Bing (China, V137C)
gogomile	38.2	fuuki/fuukifg2.cpp	-	-	Susume! Mile Smile / Go Go! Mile Smile (newer)
lkage	38.2	taito/lkage.cpp	-	mame4all	The Legend of Kage (rev 2)
manybloc	38.2	nmk/nmk16.cpp	-	mame4all	Many Block
shangha2	38.1	sunelectronics/shanghai.cpp	-	mame4all	Shanghai II (Japan, set 1)
wwfwfest	38.1	technos/ddragon3.cpp	-	mame4all	WWF WrestleFest (World)
halleysc	38.0	taito/halleys.cpp	-	-	Halley's Comet (US)
kingpin	38.0	misc/kingpin.cpp	-	-	Kingpin
rbisland	38.0	taito/rbisland.cpp	-	mame4all	Rainbow Islands (rev 1)
acrobatm	37.9	nmk/nmk16.cpp	-	mame4all	Acrobat Mission
mustang	37.9	nmk/nmk16.cpp	-	mame4all	US AAF Mustang (25th May. 1990)
cloak	37.8	atari/cloak.cpp	-	mame4all	Cloak & Dagger (rev 5)
kurukuru	37.8	success/kurukuru.cpp	-	-	Kuru Kuru Pyon Pyon (Japan)
popbingo	37.8	dooyong/dooyong.cpp	-	-	Pop Bingo
buttobi	37.7	konami/konmedal.cpp	-	-	Buttobi Striker
ddboy	37.7	konami/konmedal.cpp	-	-	Dam Dam Boy (on dedicated PCB)
kurikint	37.6	taito/taito_l.cpp	-	mame4all	Kuri Kinton (World)
ordyne	37.6	namco/namcos2.cpp	-	mame4all	Ordyne (World)
skullxbo	37.6	atari/skullxbo.cpp	-	mame4all	Skull & Crossbones (rev 5)
cclownz	37.5	ice/lethalj.cpp	-	-	Crazzy Clownz (Version 1.0)
earthjkr	37.5	taito/asuka.cpp	-	-	U.N. Defense Force: Earth Joker (US / Japan, set 1)
masterw	37.5	taito/taito_b.cpp	-	mame4all	Master of Weapon (World)
mslider	37.5	seta/ssv.cpp	-	-	Monster Slider (Japan)
pbancho	37.5	fuuki/fuukifg2.cpp	-	-	Gyakuten!! Puzzle Bancho (Japan, set 1)
taotaido	37.5	vsystem/taotaido.cpp	-	-	Tao Taido (2 button version)
gaiapols	37.3	konami/mystwarr.cpp	-	-	Gaiapolis (ver EAF)
wardner	37.3	toaplan/wardner.cpp	-	mame4all	Wardner (World)
fantland	37.1	edevices/fantland.cpp	-	-	Fantasy Land (set 1)
galmedes	37.1	taito/asuka.cpp	-	-	Galmedes (Japan)
hvyunit	37.1	kaneko/hvyunit.cpp	-	-	Heavy Unit (World)
bygone	36.9	taito/lkage.cpp	-	mame4all	Bygone (prototype)
othunder	36.9	taito/othunder.cpp	-	-	Operation Thunderbolt (World, rev 1)
ppj	36.9	success/kurukuru.cpp	-	-	Pyon Pyon Jump (V1.40, Japan)
stadhero	36.9	dataeast/stadhero.cpp	-	mame4all	Stadium Hero (Japan)
superx	36.9	dooyong/dooyong.cpp	-	-	Super-X (NTC)
mirninja	36.8	namco/namcos2.cpp	-	mame4all	Mirai Ninja (Japan, set 1)
tharrier	36.7	nmk/nmk16.cpp	-	mame4all	Task Force Harrier
xybots	36.7	atari/xybots.cpp	-	mame4all	Xybots (rev 2)
hangzo	36.6	dataeast/rohga.cpp	-	-	Hangzo (Japan, prototype)
ultraman	36.6	konami/ultraman.cpp	-	mame4all	Ultraman (Japan)
blstroid	36.5	atari/blstroid.cpp	-	mame4all	Blasteroids (rev 4)
phelios	36.5	namco/namcos2.cpp	-	mame4all	Phelios
rshark	36.5	dooyong/dooyong.cpp	-	-	R-Shark (set 1)
timekill	36.5	itech/itech32.cpp	-	-	Time Killers (v1.32)
pollux	36.4	dooyong/dooyong.cpp	-	-	Pollux (set 1)
tdragon	36.4	nmk/nmk16.cpp	-	mame4all	Thunder Dragon (8th Jan. 1992, unprotected)
bonkadv	36.3	kaneko/kaneko16.cpp	-	mame4all	B.C. Kid (Europe) / Bonk's Adventure: Arcade Version (US, China, Korea) / Kyukyoku!! PC Genjin: Special Arcade Version (Japan)
galgame2	36.3	ces/galgames.cpp	-	-	Galaxy Games + StarPak 2 cartridge
ddragon3	36.2	technos/ddragon3.cpp	-	mame4all	Double Dragon 3: The Rosetta Stone (US)
fruitstb	36.2	misc/mpu12wbk.cpp	-	-	Fruit Star Bonus (Ver 8.2.00ITL)
galgame3	36.2	ces/galgames.cpp	-	-	Galaxy Games + StarPak 3 cartridge
lastday	36.1	dooyong/dooyong.cpp	-	-	The Last Day (set 1)
rollerg	36.1	konami/rollerg.cpp	-	mame4all	Rollergames (US)
djboy	36.0	kaneko/djboy.cpp	-	-	DJ Boy (World)
mystwarr	35.9	konami/mystwarr.cpp	-	-	Mystic Warriors (ver EAA)
cchasm	35.8	cinematronics/cchasm.cpp	-	mame4all	Cosmic Chasm (set 1)
volfied	35.8	taito/volfied.cpp	-	-	Volfied (World, rev 1)
endrichs	35.7	seta/seta2.cpp	-	-	Endless Riches (Ver 1.21)
gotcha	35.7	misc/gotcha.cpp	-	-	Got-cha Mini Game Festival
shanghai	35.7	sunelectronics/shanghai.cpp	-	mame4all	Shanghai (World)
reelquak	35.6	seta/seta2.cpp	-	-	Reel'N Quake! (Version 1.05)
shadfrce	35.5	technos/shadfrce.cpp	-	-	Shadow Force (World, Version 3)
blockout	35.4	technos/blockout.cpp	-	mame4all	Block Out (set 1)
exctsccr	35.4	alpha/champbas.cpp	-	mame4all	Exciting Soccer
looping	35.4	videogames/looping.cpp	-	-	Looping (Europe)
